MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
2,7,13/02/2020,7.0,5.0,13.5,18.0,4.0,,2.0,5024.5,2680.864,2365.636,0.0,2,7,13/02/2020,0
2,7,14/02/2020,11.0,14.0,33.58762,46.0,,1.0,12.0,12238.09118,6205.377275,6032.713905,0.0,2,7,14/02/2020,0
2,7,15/02/2020,23.0,20.0,37.34738,44.5,,,27.0,15355.68652,7845.966176999999,7509.720343000001,3.2,2,7,15/02/2020,0
2,7,16/02/2020,18.0,33.0,50.73722,64.0,6.0,1.0,29.0,25719.39558,13154.0759,12607.31968,6.4,2,7,16/02/2020,0
2,8,17/02/2020,6.0,1.0,10.41841,16.5,1.0,,6.0,3129.79999,1526.73495,1603.06504,3.2,2,8,17/02/2020,0
2,8,18/02/2020,2.0,6.0,7.275189999999999,9.0,,,3.0,4063.49951,2258.28734,1805.21217,0.0,2,8,18/02/2020,0
2,8,19/02/2020,4.0,2.0,21.90557,14.0,,,6.0,5821.02993,2940.127502,2880.9024280000003,0.0,2,8,19/02/2020,0
2,8,20/02/2020,3.0,9.0,18.08682,15.5,,,3.0,7673.74998,3836.2154,3837.5345799999996,0.0,2,8,20/02/2020,0
2,8,21/02/2020,7.0,11.0,14.48,17.5,2.0,,6.0,6995.42,3669.3335,3336.0865,0.0,2,8,21/02/2020,0
2,8,22/02/2020,11.0,6.0,21.02585,26.5,,,9.0,7526.75255,3914.989404,3637.7631460000002,10.323,2,8,22/02/2020,0
2,8,23/02/2020,18.0,7.0,53.429219999999994,50.0,,2.0,34.0,16352.706540000001,8077.979409999999,8274.727128,29.388241999999998,2,8,23/02/2020,0
2,9,24/02/2020,4.0,1.0,14.46539,5.5,,,2.0,2691.03531,1467.744965,1223.290345,3.2,2,9,24/02/2020,0
2,9,25/02/2020,3.0,1.0,7.67019,5.0,,1.0,6.0,2809.20451,1346.4973400000001,1462.70717,0.0,2,9,25/02/2020,0
2,9,26/02/2020,2.0,2.0,12.75,12.0,,,8.0,4131.75,2053.06725,2078.68275,0.0,2,9,26/02/2020,0
2,9,27/02/2020,5.0,4.0,17.43411,16.0,,,13.0,5541.68139,2775.32724,2766.35415,0.0,2,9,27/02/2020,0
2,9,28/02/2020,5.0,1.0,10.7,9.0,,,14.0,2662.3,1310.438,1351.862,0.0,2,9,28/02/2020,0
2,9,29/02/2020,16.0,10.0,34.04723,36.5,,2.0,20.0,13281.38107,6043.14649,7238.234579999999,3.2,2,9,29/02/2020,0
3,9,01/03/2020,26.0,26.0,64.175,44.0,,,51.0,25616.425,12485.96825,13130.45675,9.4,3,9,01/03/2020,0
3,10,02/03/2020,6.0,4.0,14.26141,9.0,,,4.0,4354.77699,2259.6712,2095.10579,3.2,3,10,02/03/2020,0
3,10,03/03/2020,3.0,1.0,12.44128,19.5,,,8.0,3216.99372,1771.3664260000003,1445.627295,0.0,3,10,03/03/2020,0
3,10,04/03/2020,3.0,4.0,38.11,19.5,,,9.0,10318.19,4926.3135,5391.8765,0.0,3,10,04/03/2020,0
3,10,05/03/2020,3.0,3.0,11.53892,12.0,,,9.0,4311.80188,2072.6974,2239.10448,0.0,3,10,05/03/2020,0
3,10,06/03/2020,4.0,2.0,23.545189999999998,20.0,,,11.0,5793.8295100000005,2986.82559,2807.00392,0.0,3,10,06/03/2020,0
